Column1,Glucose concentration,Pyruvate concentration,Acetald concentration,Acetate concentration,Ethanol concentration,Active cell material,Acetaldehyde dehydrogenase,Specific oxygen uptake rate,Specific carbon dioxide evolution rate
41#19,28.11796,0.009366189,-0.02709059,0.002376989,0.1054951,0.4218488,0.005374709,7.164608,3.446853
41#20,27.42874,0.01077809,-0.008161184,-7.37275e-05,-0.05457596,0.4349379,0.004956252,7.416435,3.880693
41#21,27.92804,0.01248516,0.02701803,-0.000924334,-0.01271189,0.4536478,0.004643969,7.658537,4.815856
41#22,27.16206,0.01503179,0.03977641,0.00297874,0.1461552,0.4634116,0.005456757,8.014054,6.253597
41#23,27.94538,0.01693862,0.00514006,0.00176456,-0.2486432,0.4784152,0.00487619,8.090369,7.807381
41#24,28.11627,0.01800981,-0.02075163,0.001415134,0.07358572,0.4802353,0.005075741,8.038565,10.18055
41#25,27.78585,0.01919902,-0.03656508,0.00216427,-0.005418748,0.4882218,0.004727035,7.922362,10.22737
41#26,27.47833,0.02045606,0.02769554,0.000107434,-0.125139,0.4965926,0.00534059,7.846904,12.27944
41#27,27.62879,0.02171286,0.04734401,0.002480052,-0.1926028,0.5008357,0.004341837,7.300994,13.34422
41#28,27.19917,0.02150778,-0.002118887,0.000358983,-0.1434053,0.50783,0.00522005,7.171298,14.61507
41#29,27.51785,0.0218893,0.02169947,0.002057318,-0.1342628,0.5056795,0.004165177,7.090902,15.08559
41#30,27.46579,0.02270036,0.006323002,-0.001950213,0.03515153,0.5174446,0.004022255,7.048139,15.98958
41#31,27.83491,0.02344321,0.03143099,-0.001449298,0.1623388,0.5220456,0.004711381,6.57787,16.89676
41#32,27.07974,0.02366209,-0.000984387,0.000497282,-0.1304524,0.5247488,0.00372767,6.295374,18.22662
41#33,27.93127,0.02386882,-0.006071083,0.000957432,0.2497944,0.5250754,0.003767274,6.026224,17.84568
41#34,26.99686,0.02402095,0.02625119,0.000916727,0.1427726,0.5269185,0.003651487,5.758164,19.25692
41#35,27.59706,0.02459293,0.02422103,0.001034954,0.09811465,0.5342858,0.004012816,5.647195,19.19534
41#36,27.79642,0.02504168,0.04821632,0.001909356,-0.1308104,0.531869,0.005264911,5.380884,19.60918
41#37,27.71774,0.02397502,0.0716934,0.000569021,0.005272787,0.5382353,0.004523349,5.096647,20.70088
41#38,27.82636,0.0244555,0.01035877,0.000313763,0.1932627,0.541883,0.004165833,5.187414,20.98174
41#39,26.59491,0.02512115,0.04043406,0.001821002,-0.05106869,0.5375066,0.003969046,4.87474,21.65328
41#40,27.02414,0.02656102,0.06052406,0.003326399,0.246414,0.5397182,0.004971469,5.254125,22.29814
41#41,27.50043,0.0273634,0.03834466,0.006013213,-0.1212466,0.5416655,0.005012316,5.315188,22.88196
41#42,26.62172,0.02776663,0.02705305,0.005075969,0.1051368,0.5439286,0.004479159,5.484267,24.01461
41#43,25.84801,0.02906708,0.08568229,0.00945211,0.2730639,0.541788,0.004243949,5.636134,25.35316
41#44,26.25885,0.0297535,0.05165338,0.0119537,0.607245,0.5396503,0.003747795,5.895459,26.87456
41#45,24.95945,0.03161073,0.1138337,0.01350546,0.8434803,0.5467548,0.004769146,6.060455,28.92599
41#46,24.11232,0.03470329,0.1637723,0.01747827,1.059921,0.5459602,0.003740406,6.299619,30.10523
41#47,22.91675,0.0345979,0.2717189,0.02081222,1.445848,0.5445742,0.004793321,6.628579,31.68624
41#48,20.58973,0.03559481,0.3494993,0.02933674,2.136255,0.5478147,0.004887571,7.016622,32.99941
41#49,18.0914,0.03840068,0.5455222,0.03974777,3.251489,0.5428343,0.004915773,7.394926,34.05428
41#50,14.1545,0.03814679,0.8488117,0.05398641,4.664114,0.5430032,0.004573666,7.867982,34.80716
41#51,11.54813,0.03755995,0.9365832,0.05882321,5.273126,0.5455056,0.004748295,8.311672,35.12512
41#52,10.49098,0.03732352,1.031387,0.06734654,5.754704,0.5457119,0.003273451,8.574441,35.48733
41#53,7.556553,0.0368561,1.108384,0.06977782,6.409618,0.5431815,0.003239381,9.038809,36.54229
41#54,5.824003,0.03621833,1.264443,0.07841719,6.96799,0.5483489,0.003735254,9.602326,36.00217
41#55,2.776346,0.03452985,1.39999,0.08727496,8.123029,0.5478309,0.004561353,10.23581,36.6582
41#56,2.732862,0.03407813,1.453373,0.09040108,8.206753,0.5431724,0.004803889,10.42498,35.62054
41#57,1.093933,0.03354403,1.434589,0.09115201,8.423683,0.544289,0.003684998,10.66061,35.88451
41#58,0.6119136,0.03083608,1.398891,0.09475978,8.770094,0.5450124,0.003921567,10.26767,33.7455
41#59,0.2521964,0.03069006,1.40498,0.09784193,8.740784,0.5444768,0.004214348,10.16037,34.00256
41#60,0.362638,0.02938731,1.411351,0.09661961,8.815477,0.5455118,0.004546647,9.882427,33.20921
41#61,0.4945661,0.02899697,1.436261,0.09739096,8.938494,0.5429319,0.004449207,9.299516,31.28754
41#62,0.2685365,0.02781559,1.41346,0.09598299,8.861914,0.5483015,0.005323896,8.82484,30.48428
41#63,-0.2283122,0.02601803,1.444429,0.09764589,8.92291,0.5418929,0.004157191,7.966716,29.16802
41#64,0.375133,0.02501673,1.410995,0.09652078,9.164568,0.545626,0.005077822,6.870719,27.36396
41#65,-0.249123,0.02331333,1.412575,0.09431276,9.271346,0.5423191,0.00453135,5.185793,25.80322
41#66,-0.1507589,0.02294874,1.442152,0.09713998,9.135692,0.542119,0.0046628,4.422324,24.59159
41#67,-0.6039298,0.02134268,1.401414,0.09684298,8.932253,0.5417829,0.005131631,3.905414,24.53602
41#68,-1.122346,0.02093671,1.436575,0.0956894,9.184829,0.5400934,0.004523925,3.668468,23.5842
41#69,0.2546703,0.01964506,1.435953,0.09604971,8.820275,0.5452342,0.004743615,3.652648,22.4611
41#70,-0.3470621,0.01882195,1.385326,0.09587038,9.084459,0.5433632,0.005334254,3.963694,21.99012
41#71,-0.2862526,0.01619658,1.405603,0.09524378,9.153972,0.5427858,0.004502186,4.487222,20.93651
41#72,0.1599016,0.01429268,1.392026,0.09449991,9.155679,0.5465376,0.00514743,4.255041,20.13402
41#73,0.317104,0.01308245,1.336733,0.09153643,9.109904,0.5441281,0.005541944,4.176415,18.69927
41#74,-0.0491118,0.01162443,1.382453,0.09049442,9.001646,0.5453586,0.005737498,4.092966,18.92493
41#75,0.05938733,0.01056329,1.355733,0.08841661,9.017189,0.5394861,0.005352089,4.41305,17.50589
41#76,-0.50476,0.009458531,1.36396,0.08758926,9.043196,0.5389003,0.005429073,4.12648,17.1581
41#77,-0.542003,0.007509234,1.404128,0.08936117,8.846834,0.5457472,0.005280182,4.283013,18.11282
41#78,-0.1051148,0.006570526,1.365373,0.08257476,9.205003,0.5448569,0.003534995,4.10144,17.5462
41#79,0.3881497,0.004563835,1.313498,0.08180308,9.151766,0.54689,0.004914943,3.981826,16.74244
41#80,-0.01030567,0.00211246,1.340145,0.08079326,9.103789,0.5492687,0.004524504,3.943325,17.02283
41#81,-0.2007296,0.00197769,1.354316,0.08108582,9.034679,0.5450121,0.005681404,3.919892,16.58307
41#82,-0.6588759,0.000442028,1.370759,0.079252,9.154532,0.5442954,0.004596152,3.467071,15.92338
41#83,-0.1891737,-7.57361e-05,1.366524,0.07644255,9.358161,0.5461053,0.005654372,3.284994,16.50205
41#84,-0.02122239,0.000205351,1.342089,0.07923104,9.302829,0.5435219,0.004676355,2.272759,15.10101
41#85,0.04855236,0.000301463,1.396156,0.07745772,9.241633,0.5441873,0.005101335,-3.980464,6.866678
41#86,-0.1934752,-0.000578659,1.342154,0.07847484,9.229061,0.5434721,0.00465563,-3.975141,8.028474
41#87,-0.1953383,0.000388611,1.394555,0.07614417,9.357434,0.5432662,0.004794315,-3.852708,6.780193
41#88,0.559902,-0.001167357,1.334389,0.07931894,8.926399,0.5462813,0.005069621,-4.107302,7.362445
41#89,0.3816139,-0.000571806,1.346555,0.07873405,9.18701,0.5447778,0.004637462,-3.702814,7.119953
41#90,-0.2682978,0.000181994,1.374184,0.07544024,9.139377,0.5472479,0.005131461,-4.046235,7.243587
41#91,-0.1145697,0.00025237,1.344826,0.07504512,9.010205,0.5505615,0.004709609,-4.148744,6.952112
41#92,-0.4477486,-8.86797e-05,1.351933,0.07438321,9.16774,0.5483586,0.005457452,-3.986646,7.017557
41#93,-0.7081614,-0.000180484,1.272841,0.06443138,9.217228,0.5443538,0.005145581,-4.548197,6.840489
41#94,-0.2813563,7.58738e-05,1.273414,0.05837749,9.190857,0.5450018,0.005047131,-4.906788,5.717918
41#95,-0.1366509,-0.000349868,1.217709,0.04848514,9.179425,0.5454382,0.006099436,-5.207052,6.098498
41#96,0.4537073,9.23249e-05,1.218102,0.04186434,9.154773,0.5440337,0.006024648,-5.739679,4.923785
41#97,0.4129455,0.000219716,1.145142,0.02550718,9.260299,0.5494369,0.006053679,-6.941591,3.405256
41#98,-0.2134862,0.000363417,1.049881,0.01861131,9.528079,0.54741,0.006147059,-7.228608,2.712136
41#99,0.8910796,-0.000552041,0.9910389,0.01259557,9.457953,0.5451692,0.006196551,-7.799791,2.307298
41#100,-0.04376372,-3.25872e-05,0.9458536,0.01107057,9.454837,0.5463526,0.006737581,-7.718342,1.007284
41#101,-0.4169933,-6.45957e-05,0.9022052,0.008080903,9.627517,0.5461105,0.007511039,-7.546203,1.408847
41#102,-0.07155615,0.000309853,0.8766152,0.006905604,9.484007,0.5459383,0.007106529,-7.609406,1.236951
41#103,-0.2242045,-3.51059e-05,0.8034371,0.004265157,9.545428,0.5441288,0.007937646,-7.419913,1.287402
41#104,0.2409036,0.000344844,0.7469204,0.003176127,9.831086,0.5453886,0.007879799,-6.839875,0.9666455
41#105,-0.6181926,-0.000230311,0.6613424,0.003982146,9.732168,0.5445762,0.008663516,-6.686786,0.4679641
41#106,-0.2304144,0.000416456,0.6853771,0.005185178,9.937627,0.5459832,0.008290504,-6.328874,0.310211
41#107,-0.561536,5.10081e-05,0.5493848,0.004475726,10.06227,0.5434771,0.00892759,-5.773331,-0.08254482
41#108,0.5577278,-0.000615233,0.5300019,0.002903352,9.929695,0.541979,0.00975538,-5.249782,1.242507
41#109,0.1120815,0.000519695,0.4546849,0.004707161,9.849457,0.5407993,0.01055578,-3.949277,0.8854117
41#110,-0.3392875,0.000170389,0.3968526,0.004964961,10.08584,0.5419307,0.01042916,-3.405325,0.5415799
41#111,-0.2862126,-0.001234304,0.3369359,0.007571189,9.967961,0.5408238,0.01163478,-2.537077,0.5364267
41#112,-0.1771448,-0.00032832,0.3234766,0.005657782,10.13698,0.5434152,0.01185177,-1.792652,0.6998081
41#113,-0.004104723,-4.73085e-05,0.2093161,0.005982921,10.10475,0.5446506,0.01315059,-0.9980651,1.529019
41#114,0.2239528,0.000447544,0.2007295,0.007208479,10.26023,0.5389038,0.01365363,0.1035682,1.163658
41#115,-0.06224918,0.000224479,0.1394747,0.006954446,10.15459,0.5374103,0.01463331,1.028026,1.228327
41#116,-0.4597099,-2.07202e-05,0.1348591,0.007406589,10.25747,0.5388147,0.01573974,1.71786,0.8567677
41#117,0.6092403,0.000874715,0.1156766,0.007628863,10.40185,0.5390868,0.01599041,1.938755,1.130716
41#118,-0.02191212,-4.42674e-05,0.1422917,0.009572837,10.39454,0.5412494,0.01596388,1.73287,0.5480413
41#119,-0.03647519,0.00035626,0.1116511,0.00726235,10.4553,0.5365682,0.01691239,1.921421,1.640196
41#120,0.02102357,-0.000504395,0.1270631,0.006682774,10.24364,0.5380738,0.01679772,1.871117,1.348654
41#121,0.2669983,-0.000313603,0.1371396,0.007355563,10.16643,0.5379503,0.01765532,1.87826,1.494183
41#122,-0.03594194,-0.000450774,0.1330962,0.0080627,10.34552,0.5369189,0.01845321,2.031148,1.289045
41#123,0.193125,-0.000870903,0.0921976,0.008693081,10.40119,0.5374973,0.01923096,2.697827,1.188128
41#124,-0.09215105,-0.000532463,0.1221755,0.008801054,10.39285,0.5351,0.02062823,2.591131,1.546965
41#125,0.1125755,-0.000237688,0.09304301,0.009602827,10.44559,0.5316493,0.02198258,2.736414,1.694179
41#126,0.08342373,-3.79734e-05,0.07413901,0.01214904,10.19159,0.5289097,0.02410032,3.247944,1.714393
41#127,-0.5228509,0.000229002,0.08421671,0.01437115,10.26271,0.5285764,0.02622878,3.504682,1.979342
41#128,0.1192734,-0.000128279,0.08336524,0.01620404,10.1589,0.5266766,0.0279025,3.65083,1.985914
41#129,0.002364135,-0.000822839,0.07212042,0.01577653,10.0246,0.5286502,0.02946434,3.899196,2.175845
41#130,-0.1517719,-0.000111871,0.09914589,0.02088379,10.07121,0.5277346,0.0375266,4.775571,2.810396
41#131,0.02009043,0.001051219,0.07768252,0.02543716,9.829504,0.5258096,0.04409132,5.762232,3.08918
41#132,-0.08068697,-0.000115053,0.09265126,0.0322399,9.500912,0.5262003,0.0499198,6.526499,4.391765
41#133,-0.1071966,-6.02685e-05,0.02172973,0.03601822,9.297078,0.5247144,0.05577675,7.203111,4.461654
41#134,-0.1366429,-0.000729037,0.07327835,0.03569933,9.295268,0.5279233,0.05807311,7.395675,5.017955
41#135,0.5572354,-0.000299811,0.0262821,0.04138099,8.940884,0.5319766,0.06100957,8.10426,4.624475
41#136,0.2335944,-0.000725297,0.08122675,0.03962674,8.880034,0.5229487,0.06029174,7.882934,4.183585
41#137,0.004383437,-0.000782193,0.06416988,0.03689739,9.096098,0.5276439,0.06076439,8.262885,4.924057
41#138,0.2713017,-3.29246e-05,0.01922275,0.03813855,8.891881,0.5287141,0.06149413,7.973392,4.53636
41#139,-0.3747956,0.000147789,0.04081325,0.04060123,8.782522,0.5281785,0.06131742,7.973355,4.142619
41#140,-0.1761549,-0.000311454,0.0161532,0.03911601,8.906718,0.5308817,0.06191124,8.12848,4.519616
41#141,0.8561488,-3.67588e-05,0.07944868,0.03973986,8.925731,0.5315953,0.06438124,8.477862,5.010584
41#142,0.1000634,-0.001034698,0.0427023,0.04314806,8.65629,0.5367213,0.06587183,8.712608,5.849485
41#143,0.1336743,9.09625e-05,0.03043307,0.04346021,8.426495,0.5336116,0.06558403,8.861281,5.338567
41#144,-0.3389652,0.00011952,-0.000694533,0.04644372,8.376124,0.536243,0.06654225,8.819781,4.597854
41#145,-0.3455496,-4.50531e-05,0.05468996,0.04289252,8.476195,0.5346336,0.06766365,8.869844,4.742085
41#146,-0.6591714,-0.000311038,0.02722714,0.04505359,8.258576,0.537037,0.06705914,9.009271,4.890516
41#147,0.2578814,-0.000603541,0.0238061,0.05145025,8.1149,0.540069,0.07096533,9.649414,5.606396
41#148,0.4298188,-0.000542376,0.02944531,0.0500759,8.032783,0.5396451,0.07129359,9.398212,5.877351
41#149,0.710295,-0.000365842,0.0724803,0.04959011,7.999717,0.5368531,0.07118204,9.921079,6.15334
41#150,-0.297351,0.000304075,0.02665304,0.04905131,8.11904,0.5387659,0.07193574,9.783181,6.079754
41#151,-0.02426637,-0.000874589,0.02534833,0.04914416,7.949978,0.5410631,0.07321271,9.87564,5.732368
41#152,-0.02060031,0.000389129,0.0549507,0.04969914,7.888141,0.5405495,0.0734869,9.953703,5.767617
41#153,-0.1052532,-0.000412868,0.02506237,0.0517035,7.937568,0.5453309,0.07406285,9.852271,6.401438
41#154,0.482985,-0.000320175,0.005389825,0.05338468,7.886897,0.5424539,0.07325254,10.07707,5.881866
41#155,0.1558388,0.000805147,0.07774401,0.05563008,7.697309,0.5461977,0.07638652,10.28383,5.565982
41#156,0.6753433,-0.000593742,-0.007762114,0.05518776,7.48313,0.5476449,0.07792806,10.65797,5.79515
41#157,0.2865726,-0.000754717,0.05239749,0.05882458,7.11337,0.5513902,0.07941446,11.01519,6.135472
41#158,-0.2858919,-0.000112562,0.0421753,0.06252519,6.460286,0.5657629,0.08226827,11.60524,6.653811
41#159,0.1645301,-0.000162406,0.01089176,0.06653962,5.546485,0.5718128,0.08511421,12.38765,6.51453
41#160,-0.2345302,6.97923e-05,0.002150296,0.06643163,5.56936,0.57807,0.08582203,12.30466,7.271779
41#161,0.1639294,7.08922e-05,0.0250297,0.06688905,5.274634,0.5800127,0.08707979,12.5762,6.756439
41#162,0.1166593,-0.000185314,-0.004479471,0.06732595,5.063226,0.5808012,0.08776812,12.70255,7.34339
41#163,-0.3920471,-0.000642375,-0.03663565,0.06937885,4.731295,0.5936169,0.08864012,12.73216,7.374686
41#164,-0.2431843,-0.00011394,0.03053452,0.06903484,3.721733,0.6025094,0.08940671,13.12936,7.491196
41#165,-0.08645006,-0.000238096,0.01284468,0.06863,3.382393,0.6109924,0.08875265,12.98924,7.615326
41#166,0.5093174,0.000192826,0.01243592,0.06747831,3.261069,0.6117278,0.08844793,13.30852,7.805638
41#167,-0.3277291,0.000211302,0.02071758,0.06658006,2.800063,0.6136962,0.08813544,13.15045,7.351191
41#168,0.01892071,-0.000711062,0.01769393,0.06658413,2.743488,0.6205187,0.08816615,13.18129,7.708239
41#169,0.02297654,6.36325e-05,0.001483576,0.06220721,1.679548,0.6231811,0.08693411,13.01346,7.336205
41#170,0.2550145,-0.000518236,-0.0187259,0.06369434,1.517173,0.6328944,0.08589022,12.88635,7.76844
41#171,0.1535891,0.000964231,0.007212796,0.0581102,1.768537,0.6345052,0.08701203,12.67083,7.494349
41#172,-0.08076854,-0.00056479,0.005922547,0.05965908,1.374685,0.6352377,0.0856166,12.53322,7.055552
41#173,-0.08063182,0.000268739,-0.001386536,0.05509514,1.423672,0.6373323,0.08566881,12.45297,7.040015
41#174,0.0409331,0.000592289,0.03344294,0.05616141,1.336208,0.6315396,0.0866339,12.40257,7.506269
41#175,0.6812689,0.000447514,0.01993294,0.05642189,1.260271,0.63564,0.08496548,12.03354,7.1657
41#176,-0.3102185,0.000503258,0.00727698,0.05452879,1.322128,0.6383439,0.08635661,12.10585,6.956244
41#177,-0.1645417,-0.000149113,0.02341329,0.05087164,0.9934386,0.6421152,0.08479669,11.63656,6.480106
41#178,-0.6662753,0.001068674,0.03257053,0.04721177,0.8039192,0.641475,0.08452341,10.77995,6.311746
41#179,0.3490106,0.000212529,0.01875103,0.04073816,0.8108487,0.648352,0.08393084,9.911495,5.794268
41#180,-0.07789585,0.000201492,0.04842635,0.03185903,0.5908669,0.6475721,0.08321881,8.599049,4.3368
41#181,0.3321567,-3.36598e-05,-0.003769819,0.0313049,0.6378652,0.6502372,0.08440055,8.189804,4.919801
41#182,0.3292653,0.000140858,0.02643052,0.02876107,0.1863781,0.6504983,0.08334153,7.433876,4.652344
41#183,-0.6086915,-0.000730655,0.00347156,0.02493827,0.4876249,0.6516591,0.08251946,7.090711,4.647153
41#184,-0.0870361,0.000477984,-0.05223855,0.02344704,0.355461,0.6498416,0.0829747,6.341882,3.890068
41#185,0.1034153,-0.000105069,-7.28871e-05,0.0199583,0.3336197,0.648927,0.08164264,5.518004,3.340008
41#186,0.3700914,-0.000566474,0.01977775,0.01897629,0.3893122,0.6507153,0.08252657,5.334604,3.590912
41#187,-0.2971449,9.22666e-05,-0.02159194,0.01804074,0.3426234,0.6504989,0.08259786,4.923371,2.578106
41#188,-0.1481627,-0.000335289,-0.04534779,0.01536411,0.2566839,0.6515437,0.08095296,4.05438,3.316652
41#189,-0.06154859,-9.23061e-05,-0.05229071,0.01119651,0.2917035,0.6565249,0.08099874,3.433935,2.461671
41#190,-0.3036649,-2.55387e-05,0.01430062,0.008081295,0.1118338,0.6543852,0.08096121,2.608287,1.909293
41#191,-0.2782294,-0.000420587,-0.000716146,0.005958037,0.02284239,0.6520122,0.08063582,1.729595,1.235827
41#192,0.7411492,0.0008722,0.00709021,0.004352327,0.09012555,0.654663,0.08194889,1.223228,0.7350071
41#193,-0.5067759,-0.000492089,-0.006835892,0.000345703,0.04554159,0.6538899,0.08086301,1.016944,0.295866
41#194,-0.06448186,6.55923e-05,-0.000573603,0.000266831,-0.09680331,0.6522514,0.08022918,0.3004656,0.2430293
41#195,0.2931768,-0.000772911,0.02123117,0.002653606,-0.02950362,0.6543828,0.08029701,0.05032647,0.04418985
41#196,-0.1061526,0.000189881,-0.01733924,0.000519777,-0.04721003,0.6480438,0.08001214,0.1023693,-0.03851359
41#197,-0.2876538,-0.00023784,0.01656415,-0.001663253,0.07788142,0.6541443,0.08009516,-0.02292447,-0.2594751
41#198,-0.3351678,-0.000446554,0.003804169,-0.000284232,0.03722866,0.6499084,0.07967275,0.0667579,-0.7118169
41#199,0.212027,0.000434057,0.04406748,-0.001374581,0.1511609,0.6493872,0.07858515,-0.1739073,0.6645225
41#200,0.02743998,-0.0002583,0.05601969,0.001746904,-0.08623829,0.6533815,0.07977629,-0.127164,0.05838253
41#201,0.05813509,7.0127e-05,-0.009198342,-0.000157704,-0.1870527,0.6508524,0.07854511,0.01650662,0.06590178
41#202,0.3386108,-0.001356513,0.01035575,-0.002071406,0.03157352,0.6485505,0.07768302,-0.3451557,-0.2758381
41#203,0.4997481,-0.000158097,0.02298297,-0.000465971,0.04473875,0.6518526,0.07588854,-0.001020329,-0.7849803
41#204,-0.01387255,9.86632e-05,-0.01031467,0.000878696,0.1277683,0.6551641,0.07634509,-0.02943736,-0.08565509
41#205,0.1341619,0.00028626,0.001358053,0.000629063,-0.07822593,0.6525705,0.07490329,-0.1536544,-0.3263475
41#206,-0.01851568,0.00011214,0.02105095,0.001231932,0.05521815,0.6505517,0.07393706,-0.05796436,0.6632022
41#207,0.2479282,-0.000609838,0.009769491,0.001780416,-0.217825,0.6517779,0.07305763,0.0372325,0.5218732
